Fuel,PlantType,LowerPlantSizeLimit,UpperPlantSizeLimit,PropertyName,PropertyValue,PropertyUnits
Storage,Storage,0,999999,Min Stable Level,0,fraction of capacity
Hydrogen,Hydrogen,0,999999,Min Stable Level,0,fraction of capacity
Storage,Storage,0,999999,Start Cost,0,xCapacity
Hydrogen,Hydrogen,0,999999,Start Cost,0,xCapacity
Storage,Storage,0,999999,Min Down Time,0,hours
Hydrogen,Hydrogen,0,999999,Min Down Time,0,hours
Storage,Storage,0,999999,Ramp Rate,60,fraction of capacity/hr
Hydrogen,Hydrogen,0,999999,Ramp Rate,60,fraction of capacity/hr
Storage,Storage,0,999999,Variable O&M Cost,0,$/MWh
Hydrogen,Hydrogen,0,999999,Variable O&M Cost,0,$/MWh
